main_id,id,version,hip,tyc,ucac,twomass,sdss,allwise,gaia,apass,kic,objtype,typesrc,ra,dec,posflag,pmra,e_pmra,pmdec,e_pmdec,pmflag,plx,e_plx,parflag,gallong,gallat,eclong,eclat,bmag,e_bmag,vmag,e_vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,jmag,e_jmag,hmag,e_hmag,kmag,e_kmag,twomflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,gaiamag,e_gaiamag,tmag,e_tmag,tessflag,spflag,teff,e_teff,logg,e_logg,mh,e_mh,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_ebv,epos_ebv,ebvflag,eneg_mass,epos_mass,eneg_rad,epos_rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_teff,epos_teff,teffflag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareflag,vmagflag,bmagflag,splists,e_ra,e_dec,ra_orig,dec_orig,e_ra_orig,e_dec_orig,raddflag,wdflag,objid,CCD,sector,otype,sp_type,sp_qual,nbref
HD 120543,286243268,20190415,67541.0,5559-00476-1,385-063777,13502087-1306369,,J135020.87-130636.8,3.612229880059529e+18,6188682.0,,STAR,tmgaia2,207.586968259892,-13.1102519581012,tmgaia2,-20.2603,0.0791012,-5.94479,0.0779321,gaia2,1.88736,0.0510088,gaia2,324.344554127848,47.2974529024154,210.280934499825,-1.64469028084585,9.096,0.0,7.5,0.03,,,,,,,,,,,4.367,0.298,3.416,0.236,3.159,0.298,DDD-333-111-d00-0-0,,2.027,,1.932,,2.892,0.012,2.792,0.021,6.62742,0.00132,5.6198,0.0093,rered,gaia2,3758.0,122.0,,,,,76.5494,,,,,,GIANT,,,522.3,14.032,0.0653799,0.0165204,,,,,,0.0149978,0.018043,panstarrs,,,,,,,,,,,13.662,14.402,bj2018,,,dered,7.80073,0.008064,5.58328,0.005161,1.0,,hipvmag,apassdr9,,1.23491551872672,1.20846453236495,207.586878693532,-13.1102775537405,0.0438477312648294,0.0353446238209793,0.0,0,872228984,4,91,*,M1III,C,15
HD 174802,441846716,20190415,92682.0,6285-01889-1,357-167193,18530653-1838126,,J185306.56-183812.7,4.0867416508243707e+18,9582077.0,,STAR,tmgaia2,283.277204285515,-18.6368410604949,tmgaia2,3.62885,0.0934714,-25.8114,0.0727052,gaia2,4.71348,0.0667365,gaia2,16.3992060603455,-8.73510692778152,282.604056847505,4.22339099308647,8.082,0.016,6.77,0.03,,,,,,,,,,,4.886,0.252,4.026,0.26,3.913,0.264,DDD-333-111-000-0-0,,3.659,0.317,3.401,0.224,3.654,0.012,3.581,0.022,6.34672,0.00047073,5.62038,0.0062,rered,gaia2,4399.0,122.0,,,,,19.9176,,,,,,GIANT,,,210.939,2.993,0.0166892,0.008372355,,,,,,0.00810889,0.00863582,panstarrs,,,,,,,,,,,2.951,3.035,bj2018,,,dered,7.04851,0.002082,5.57653,0.002716,1.0,,hipvmag,tycho2b3,,1.46892038042741,1.12794049092088,283.277220774354,-18.6369521929128,0.0465854572726798,0.0477197426907727,0.0,0,1615233230,2,92,*,K1III,C,13
HD 170886,187070303,20190415,90900.0,6275-00946-1,356-149931,18322916-1858216,,J183229.16-185821.3,4.093283264029579e+18,9475070.0,,STAR,tmgaia2,278.121533399414,-18.9726544899597,tmgaia2,-1.76929,0.0910339,-6.17003,0.0775853,gaia2,1.63997,0.0477205,gaia2,13.907000970974,-4.51556589416564,277.698882867559,4.24983814450273,8.351,0.019,6.97,0.03,,,,,,,,,,,4.474,0.27,3.83,0.212,3.735,0.248,DCD-333-111-00d-0-0,,3.602,0.299,3.307,0.192,3.587,0.016,3.522,0.023,6.44962,0.000509853,5.621,0.0167,rered,gaia2,4652.0,122.0,,,,,63.9382,,,,,,GIANT,,,599.992,17.3305,0.279716,0.0275671,,,,,,0.0403545,0.0147797,panstarrs,,,,,,,,,,,16.839,17.822,bj2018,,,dered,7.25456,0.001792,5.60785,0.00274,1.0,,hipvmag,tycho2b3,,1.43139979151238,1.20339297082011,278.121525344019,-18.972681055367,0.0481750498380983,0.0444394674094831,0.0,0,1539349155,2,92,*,G3/5Ib,D,61
* lam Cap,333393998,20190415,107517.0,5796-01288-1,394-125971,21463210-1121575,,J214632.12-112157.4,6.844970679071847e+18,,,STAR,tmgaia2,326.63373706476,-11.3659581472942,tmgaia2,29.1992,0.17471,-8.75674,0.190023,gaia2,11.8551,0.0936443,gaia2,43.6410100132655,-43.9076819094925,325.010521636455,1.92949936558928,5.559,0.022,5.57231,0.023,,,,,,,,,,,5.559,0.02,5.59,0.044,5.568,0.023,AAA-111-111-000-0-0,,5.554,0.177,5.439,0.063,5.614,0.014,5.364,0.036,5.57273,0.00192547,5.6237,0.008,gbprp,spect,9795.0,132.214,4.13524,0.0606953,,,2.2407,0.0563819,2.5,0.339186,0.222223,0.0329279,DWARF,41.63698,1.988465,84.1561,0.6683,0.0,0.0,67.0,0.0033091118,,,0.0,0.0,0.0,,0.390886,0.287486,0.0656337,0.0471302,0.0237949,0.042061,0.0802295,0.0411611,1.8513,2.12563,0.6631,0.6735,bj2018,151.265,113.163,spect,5.56962,0.002702,5.59869,0.010473,1.0,,sirful,tycho2b3,,2.72289066049347,2.94746841992804,326.633865298401,-11.3659958499528,0.0906699156008735,0.111557941809907,1.0,0,1716790957,4,92,*,A0V,C,68
V* ES Vir,19967580,20190415,,5555-01441-1,406-058739,14083770-0851429,,J140837.70-085142.9,3.6152117555945513e+18,3981376.0,,STAR,tmgaia2,212.15706555239,-8.86190901443161,tmgaia2,-8.25231,0.387076,-0.3009,0.557363,gaia2,1.81862,0.10282,gaia2,333.074368850302,49.4387039729414,213.026577292309,3.8902216219661,9.766,0.027,8.301,0.004,,,,,,,,,,,3.72,0.29,2.722,0.232,2.426,0.262,DDD-333-111-000-0-0,,0.94,,1.12,,2.32,0.009,2.139,0.014,6.84431,0.00304,5.6239,0.0068,rered,gaia2,3219.0,123.0,,,,,,,,,,,,,,543.403,31.2135,0.03143,0.002717785,,,,,,0.00266862,0.00276695,panstarrs,,,,,,,,,,,29.458,32.969,bj2018,,,dered,8.6081,0.020265,5.60238,0.007458,1.0,,tycho2v3,tycho2b3,,6.01813170978306,8.63982197749923,212.157029592337,-8.861910309975,0.0750063118222234,0.109622624838574,-1.0,0,888634279,3,91,LP*,M4III,C,9
*  13 Cap,411213368,20190415,101751.0,6330-01286-1,375-176638,20372119-1508505,,J203721.24-150851.1,6.863379630458503e+18,,,STAR,tmgaia2,309.338324663417,-15.1473382780905,tmgaia2,61.5209,0.102977,-47.1097,0.0615247,gaia2,4.43169,0.0765543,gaia2,30.5253972247658,-30.1443064485131,307.797964963183,3.28017619471854,8.04,0.017,6.76,0.03,,,,,,,,,,,4.854,0.21,3.973,0.21,3.841,0.192,CCC-333-111-00d-0-0,,3.699,0.438,3.229,0.238,3.678,0.015,3.591,0.021,6.34863,0.000390411,5.62812,0.0062,rered,gaia2,4422.0,122.0,,,,,20.8789,,,,,,GIANT,,,224.3,3.882,0.0183616,0.00613015,,,,,,0.00529535,0.00696495,panstarrs,,,,,,,,,,,3.816,3.948,bj2018,,,dered,7.03971,0.002243,5.58235,0.002289,1.0,,hipvmag,tycho2b3,,1.61108641773419,0.954147172964026,309.338599079076,-15.1475411116885,0.0537113692686442,0.0313243527645912,0.0,0,1706243019,2,92,PM*,K1III,C,21
HD 170991,433048343,20190415,90939.0,6267-00762-1,368-137565,18330202-1633367,,J183302.05-163336.7,4.1028051034543805e+18,9478204.0,,STAR,tmgaia2,278.258434725189,-16.560189265226,tmgaia2,3.15407,0.0792096,0.158365,0.074118,gaia2,2.17968,0.0428914,gaia2,16.1173553014379,-3.5279054732009,277.967606599302,6.65096952829982,8.373,0.019,6.97,0.03,,,,,,,,,,,4.808,0.294,3.938,0.248,3.849,0.246,DDD-333-111-000-0-0,,2.731,,3.293,0.3,3.457,0.016,3.402,0.023,6.43679,0.000489949,5.6321,0.0062,rered,gaia2,4285.0,122.0,,,,,48.563,,,,,,GIANT,,,453.056,8.8755,0.0874276,0.0309699,,,,,,0.0315759,0.0303639,panstarrs,,,,,,,,,,,8.705,9.046,bj2018,,,dered,7.24097,0.003041,5.59775,0.002647,1.0,,hipvmag,tycho2b3,,1.24130526792046,1.149438908979,278.258448892876,-16.5601885833772,0.0393368863933725,0.0374397413697032,0.0,0,1540659064,2,92,*,K0/1II/III,E,12
HD 154468,22267910,20190415,,6811-00999-1,331-093411,17063389-2354166,,J170633.91-235417.1,4.1136165668637563e+18,11616992.0,,STAR,tmgaia2,256.641172919385,-23.9046930868856,tmgaia2,-13.4109,0.121908,-12.1869,0.079706,gaia2,1.86243,0.0790427,gaia2,359.337128333378,10.0606389418943,257.803583218537,-1.02923661078217,10.102,0.029,8.6,0.005,,,,,,,,,,,3.459,0.226,2.519,0.208,2.22,0.24,DCD-333-111-000-0-0,,0.99,,1.399,,2.283,0.009,2.103,0.016,6.92024,0.002963,5.63734,0.0074,rered,,3192.0,122.0,,,,,,,,,,,,,,530.344,22.4665,0.107593,0.055215,,,,,,0.0580931,0.0523369,panstarrs,,,,,,,,,,,21.533,23.4,bj2018,,,dered,8.8158,0.012141,5.65929,0.006087,1.0,,tycho2v3,tycho2b3,,1.93262573032857,1.23639024626823,256.64110976027,-23.9047455582733,0.0674704315130651,0.048388374825201,-1.0,0,1174845982,2,91,LP?,M3III,C,5
HD 205624,441028272,20190415,106715.0,6366-01247-1,357-197782,21365856-1844375,,J213658.63-184438.3,6.831540659934573e+18,9991192.0,,STAR,tmgaia2,324.244044800727,-18.7437860475685,tmgaia2,48.0445,0.0852111,-45.8165,0.0824779,gaia2,4.34693,0.0567741,gaia2,32.8901357313701,-44.7245707853339,320.410362605938,-4.2847528783221,8.316,0.017,6.9,0.03,,,,,,,,,,,4.608,0.159,3.808,0.18,3.721,0.234,CCD-333-111-000-0-0,,2.839,,3.446,0.249,3.636,0.015,3.509,0.021,6.40635,0.000627925,5.63953,0.0065,rered,gaia2,4248.0,122.0,,,,,23.3207,,,,,,GIANT,,,228.588,2.9895,0.0152106,0.00268557,,,,,,0.00256854,0.0028026,panstarrs,,,,,,,,,,,2.951,3.028,bj2018,,,dered,7.17613,0.004467,5.60278,0.004158,1.0,,hipvmag,tycho2b3,,1.33955219436253,1.27924085519568,324.244263244136,-18.7439833131774,0.0494165536169026,0.0461687923416307,0.0,0,1715699815,2,92,PM*,K3III,C,8
*  44 Cap,155745933,20190415,107232.0,5800-01061-1,379-163456,21430439-1423590,,J214304.39-142358.6,6.841731655255386e+18,,,STAR,tmgaia2,325.768321983712,-14.3997121467965,tmgaia2,-5.68062,0.139249,20.2731,0.135792,gaia2,7.06051,0.095013,gaia2,39.3155359323386,-44.4506483286896,323.211208560929,-0.654800433674737,6.126,0.025,5.88,0.03,,,,,,,,,,,5.405,0.048,5.238,0.02,5.201,0.02,EAA-111-111-000-0-0,,5.191,0.216,5.019,0.046,5.216,0.015,5.139,0.043,5.82778,0.00166509,5.64184,0.007,rered,spect,7379.0,34.0,,,,,5.15223,,,,,,GIANT,,,141.099,1.9065,0.0124449,0.004467425,,,,,,0.00347996,0.00545489,panstarrs,,,,,,,,,,,,,bj2018,,,spect,5.97088,0.002547,5.60629,0.0049,1.0,,hipvmag,tycho2b3,,2.17700164810354,2.10616265350083,325.768296732196,-14.3996248598389,0.0804890026494827,0.0764140878741589,0.0,0,1716449032,3,92,*,A9/F0V,D,37
HD 187604,241931754,20190415,97727.0,6320-01770-1,354-181952,19513585-1912403,,J195135.87-191240.3,6.870260408589345e+18,9838915.0,,STAR,tmgaia2,297.899379211624,-19.2112016425486,tmgaia2,15.8836,0.102492,5.71814,0.0489415,gaia2,1.98909,0.0715222,gaia2,21.6991011346125,-21.6000715271928,296.235559605892,1.72304110033414,9.507,0.026,7.66,0.03,,,,,,,,,,,4.222,0.262,3.203,0.226,2.934,0.274,DDD-333-111-00d-0-0,,2.023,,1.817,,2.803,0.009,2.704,0.022,6.70285,0.000589,5.6522,0.0073,rered,gaia2,3805.0,122.0,,,,,76.1597,,,,,,GIANT,,,496.566,17.8045,0.162086,0.00944408,,,,,,0.00738986,0.0114983,panstarrs,,,,,,,,,,,17.178,18.431,bj2018,,,dered,7.92071,0.002612,5.63981,0.001818,1.0,,hipvmag,tycho2b,,1.61204034973023,0.759045819218033,297.899451632306,-19.2111770227932,0.051558723321851,0.026207570028748,0.0,0,1691344848,3,92,V*,M0III,C,17
*  63 Sgr,161522892,20190415,98633.0,5750-02249-1,382-152410,20015860-1338142,,J200158.63-133813.7,6.878788804888224e+18,,,STAR,tmgaia2,300.494163785076,-13.6372163992225,tmgaia2,37.056,0.201692,11.441,0.115709,gaia2,11.0085,0.122305,gaia2,28.26581969686,-21.6864415319038,299.77147073134,6.70606764613039,5.753,0.023,5.70127,0.023,,,,,,,,,,,5.528,0.029,5.499,0.044,5.492,0.018,AAA-111-111-000-0-0,,5.505,0.145,5.364,0.057,5.545,0.016,5.429,0.044,5.68599,0.0014151,5.6564,0.0062,gbprp,spect,8810.0,165.742,3.94619,0.0737068,,,2.619,0.0914647,2.21,0.329035,0.123023,0.0228931,DWARF,37.22789,1.87398,90.6217,1.01215,0.0,0.0,316.0,0.002025334,,,0.0017969382,0.0,0.0,,0.22278,0.435291,0.108477,0.0744523,0.0195985,0.0261878,0.0761015,0.071312,2.34951,1.39845,1.001,1.0233,bj2018,174.992,156.493,spect,5.72156,0.002102,5.62226,0.001831,1.0,,sirful,tycho2b3,,3.15007057489057,1.79444749400064,300.494327960158,-13.6371671394149,0.0996133751828387,0.0586278271381287,1.0,0,1695777569,2,92,*,A1IV,C,41
HD 198732,77116701,20190415,103071.0,6922-01266-1,332-208225,20530114-2346593,,J205301.21-234700.1,6.806027587829723e+18,,,STAR,tmgaia2,313.254860467819,-23.7832161217746,tmgaia2,77.1643,0.29189,-59.4113,0.258884,gaia2,17.9538,0.180687,gaia2,22.3264099341576,-36.5803436423039,309.089298348077,-6.02118106470079,7.394,0.02,6.32,0.03,,,,,,,,,,,5.081,0.254,4.439,0.232,4.262,0.027,DDA-331-111-000-0-0,,4.221,0.275,3.921,0.089,4.232,0.015,4.188,0.026,6.21073,0.000558065,5.657,0.0061,gbprp,gaia2,5069.0,125.0,,,,,3.71784,,,,,,GIANT,,,55.6197,0.56325,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.5576,0.5689,bj2018,,,dered0,6.63203,0.009238,5.55428,0.006925,1.0,,hipvmag,tycho2b3,,4.62639448006166,4.01476322929914,313.255223535493,-23.783471920854,0.162997091760058,0.128632991601867,0.0,0,1709524209,1,92,**,K0III,C,22
V* V4138 Sgr,12534678,20190415,95244.0,6309-02223-1,347-174781,19224030-2038344,,J192240.30-203835.3,4.082719809063566e+18,12197140.0,,STAR,tmgaia2,290.667922480761,-20.6429099339635,tmgaia2,7.11974,0.0670865,-104.448,0.0566292,gaia2,13.3909,0.0359068,gaia2,17.5081237715291,-15.8968081610665,289.292571124738,1.42279489201305,7.765,0.021,6.72,0.03,,,,,,,,,,,4.847,0.212,4.187,0.226,4.125,0.27,CDD-333-111-000-0-0,,4.055,0.275,3.799,0.135,4.005,0.015,3.945,0.026,6.2862,0.00489037,5.6576,0.0079,gbprp,gaia2,4716.0,126.0,,,,,5.80928,,,,,,GIANT,,,74.5173,0.2009,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.2004,0.2014,bj2018,,,dered0,6.87459,0.014493,5.62975,0.010339,1.0,,hipvmag,tycho2b3,,1.05751204660496,0.878295276836851,290.667955238375,-20.6433596406369,0.0346275768441713,0.0308701556063651,0.0,0,1671265215,3,92,RS*,K2IIICNVp,C,87
HD 122135,2709820,20190415,68398.0,5554-01081-1,410-058005,14000469-0809418,,J140004.65-080942.1,3.616233481069986e+18,,,STAR,tmgaia2,210.019483384467,-8.16164042161911,tmgaia2,-24.0155,0.0702548,-47.176,0.0593569,gaia2,7.84882,0.0398267,gaia2,330.575134311973,50.9887665986269,210.795441196521,3.82668414253675,7.621,0.019,6.56675,0.023,,,,,,,,,,,4.993,0.246,4.255,0.206,4.156,0.036,DCE-331-111-dd0-0-0,,4.066,0.391,3.835,0.117,4.094,0.014,4.032,0.026,6.27097,0.000550252,5.65765,0.0063,rered,gaia2,4827.0,122.0,,,,,9.53298,,,,,,GIANT,,,126.945,0.647,0.0145389,0.005054955,,,,,,0.00488646,0.00522345,panstarrs,,,,,,,,,,,0.644,0.65,bj2018,,,dered,6.8266,0.002792,5.61926,0.00303,1.0,,sirful,tycho2b3,,1.09241606388616,0.920418743037612,210.019378926394,-8.16184354052194,0.0390633869541842,0.0266809578938825,0.0,0,881336236,3,91,PM*,K0III,C,16
* zet04 Lib,297310042,20190415,76126.0,6184-01407-1,366-069353,15325521-1651101,,J153255.21-165110.3,6.258507497699305e+18,8772904.0,,STAR,tmgaia2,233.230082349599,-16.8528464101819,tmgaia2,-11.5031,0.33566,-10.851,0.310264,gaia2,4.53019,0.190176,gaia2,349.323770529371,31.1137407171307,235.01724305266,2.23289138797912,5.357,0.021,5.53,0.03,,,,,,,,,,,5.78,0.021,5.88,0.029,5.891,0.017,AAA-111-111-000-0-0,,6.014,0.106,5.888,0.044,6.063,0.014,6.026,0.057,5.48655,0.00211137,5.66014,0.0074,rered,,,,,,,,,,,,,,,,,220.047,9.3065,0.0472988,0.016381,,,,,,0.0151107,0.0176513,panstarrs,,,,,,,,,,,8.92,9.693,bj2018,,,,5.40298,0.003025,5.60307,0.004623,1.0,,hipvmag,tycho2b3,,5.26230964690239,4.811847246382,233.23003059984,-16.8528931297721,0.171696935749001,0.162812954183821,-1.0,0,979789166,1,91,V*,B3V,C,121
HD 190417,13735351,20190415,98947.0,6314-01711-1,369-176034,20052180-1622239,,J200521.70-162224.1,6.87704535740304e+18,9867297.0,,STAR,tmgaia2,301.340830494313,-16.3733491937902,tmgaia2,-24.5571,0.0994678,-14.8763,0.0518763,gaia2,2.97049,0.0604531,gaia2,25.9027210888793,-23.5294810159008,300.011186496278,3.86035246225386,14.384,0.0,7.57,0.03,,,,,,,,,,,3.519,0.17,2.675,0.15,2.463,0.172,CBC-333-111-000-0-0,,1.963,,2.722,0.463,2.92,0.04,2.734,0.024,6.70024,0.00061,5.667,0.0065,rered,gaia2,3866.0,122.0,,,,,49.2983,,,,,,GIANT,,,333.628,6.784,0.173324,0.005153915,,,,,,0.00581826,0.00448957,panstarrs,,,,,,,,,,,6.649,6.919,bj2018,,,dered,7.87691,0.002449,5.65546,0.002137,1.0,,hipvmag,apassdr9,,1.55836328546812,0.804518257498052,301.340720293168,-16.3734132445555,0.0479897018951443,0.0264710902057254,0.0,0,1697241517,2,92,*,K5III,C,12
,386858986,20190415,72489.0,5590-00994-1,380-068558,14491905-1408556,,J144919.01-140855.9,6.31124611837883e+18,6247462.0,,STAR,gaia2,222.329378504122,-14.149025646756,gaia2,-64.5288,0.320161,-14.3744,0.227957,gaia2,13.2136,0.113489,gaia2,341.30325908631,39.7819314685828,224.167212721769,2.03213722296452,5.637,0.022,5.31398,0.023,,,,,,,,,,,5.178,0.018,5.154,0.027,5.106,0.017,AAA-111-111-000-0-0,,5.091,0.146,4.974,0.053,5.191,0.014,5.144,0.032,5.66636,0.0021256,5.6672,0.0065,gbprp,gaia2,9273.0,655.519,,,,,,,,,,,,,,75.5246,0.6523,0.0,0.0,,,SPLIT,,,0.0,0.0,,,,,,,,,,,,0.6467,0.6579,bj2018,,,dered0,5.69341,0.054213,5.64321,0.051934,1.0,,sirful,tycho2b3,,5.00200051247188,3.53444162715081,222.32909197955,-14.1490875367041,0.119778805240583,0.0884985509157696,1.0,0,928592587,2,91,,,,
HD 182481,119262615,20190415,95516.0,6309-00901-1,338-192747,19254334-2227057,,J192543.37-222706.7,6.772356594718714e+18,12209036.0,,STAR,tmgaia2,291.430597622956,-22.451666718184,tmgaia2,30.6789,0.103574,-51.1382,0.0821664,gaia2,9.44348,0.0594713,gaia2,16.0649575711252,-17.2612556497887,289.736239540587,-0.468750004196783,8.095,0.018,6.79,0.03,,,,,,,,,,,4.833,0.238,4.124,0.22,4.035,0.256,DDD-333-111-000-0-0,,3.862,0.345,3.554,0.172,3.852,0.015,3.784,0.025,6.38425,0.000445697,5.67303,0.0062,rered,gaia2,4436.0,122.0,,,,,9.4893,,,,,,GIANT,,,105.577,0.668,0.010745,0.009346065,,,,,,0.00763963,0.0110525,panstarrs,,,,,,,,,,,0.664,0.672,bj2018,,,dered,7.0653,0.002152,5.62837,0.00292,1.0,,hipvmag,tycho2b3,,1.6373901619823,1.27435788658531,291.430740545938,-22.4518868966098,0.047118911619588,0.044542613636095,0.0,0,1674440821,4,92,PM*,K3III,C,14
HD 156975,75902903,20190415,,6246-00323-1,343-096896,17212234-2133246,,J172122.32-213324.6,4.115040915459722e+18,11673828.0,,STAR,tmgaia2,260.343005145629,-21.5567882077455,tmgaia2,-22.5468,0.168702,-19.6888,0.132196,gaia2,2.57476,0.121439,gaia2,3.26447207637781,8.59458991605035,261.020822618307,1.58199036619256,10.547,0.044,8.999,0.009,,,,,,,,,,,3.4,0.246,2.389,0.19,2.042,0.242,DCD-333-111-000-0-0,,0.317,,0.868,,2.06,0.015,1.861,0.018,7.11201,0.001564,5.6732,0.0118,rered,gaia2,3188.0,122.0,,,,,,,,,,,,,,385.599,18.263,0.340864,0.0320073,,,,,,0.0179875,0.0460271,panstarrs,,,,,,,,,,,17.414,19.112,bj2018,,,dered,9.24096,0.012825,5.77083,0.005388,1.0,,tycho2v3,tycho2b3,,2.66333573873075,2.05062188866667,260.342900768341,-21.5568729789995,0.0891854395867369,0.0805816656246896,-1.0,0,1226624530,1,91,LP?,M3III,C,5
HD 118692,707326,20190415,,5549-01169-1,393-057600,13384132-1128309,,J133841.33-112830.6,3.6104781218142244e+18,6177717.0,,STAR,tmgaia2,204.67219379238,-11.4752130280106,tmgaia2,-3.99382,0.285327,-8.04323,0.229004,gaia2,2.15398,0.14076,gaia2,321.013706383033,49.7303924087676,207.035988029822,-1.13475979170673,10.413,0.044,9.151,0.005,,,,,,,,,,,3.323,0.282,2.374,0.228,2.046,0.262,DDD-333-111-000-0-0,,-0.152,,0.598,,1.751,0.016,1.434,0.017,7.03687,0.002442,5.67646,0.0075,rered,,,,,,,,,,,,,,,,,460.641,30.7535,0.0282324,0.006220545,,,,,,0.00393649,0.0085046,panstarrs,,,,,,,,,,,28.745,32.762,bj2018,,,,9.32326,0.016066,5.66836,0.010722,1.0,,tycho2v3,tycho2b3,,4.44631818917446,3.55167731520057,204.67217624603,-11.4752476585849,0.114773261813778,0.122561655775198,-1.0,0,861442696,4,91,LP?,M5III,C,6
*  25 Sco,272382956,20190415,82140.0,6813-00789-1,323-090515,16465134-2531430,,J164651.34-253143.0,6.046673113599432e+18,,,STAR,tmgaia2,251.713937405857,-25.5285735251915,tmgaia2,-4.16466,0.0974516,-15.6304,0.046086,gaia2,3.55986,0.0432724,gaia2,355.256757382044,12.6422315493025,253.527698483926,-3.12892154292769,7.885,0.019,6.72,0.03,,,,,,,,,,,4.75,0.234,4.033,0.168,3.91,0.264,DCD-333-111-000-0-0,,3.898,0.256,3.65,0.176,3.902,0.014,3.828,0.026,6.35941,0.000252341,5.67868,0.0061,rered,gaia2,4680.0,122.0,,,,,23.2898,,,,,,GIANT,,,278.716,3.3875,0.0656699,0.02948645,,,,,,0.0313281,0.0276448,panstarrs,,,,,,,,,,,3.347,3.428,bj2018,,,dered,6.98714,0.001173,5.63624,0.002167,1.0,,hipvmag,tycho2b3,,1.54953300951164,0.714922321623745,251.713917534667,-25.5286408227489,0.0484787607748087,0.0290222512373844,0.0,0,1114611165,2,91,*,K0II,C,32
HD 132778,437353173,20190415,73514.0,6176-00044-1,356-071880,15013094-1848117,,J150130.94-184811.5,6.305101227065149e+18,8728200.0,,STAR,tmgaia2,225.37894125286,-18.8032475562965,tmgaia2,-21.4335,0.144619,1.81115,0.110011,gaia2,2.26802,0.067743,gaia2,340.954408159122,34.292844982524,228.303642434503,-1.5877181460587,9.612,0.0,7.94,0.03,,,,,,,,,,,3.8,0.256,2.903,0.226,2.654,0.226,DDD-333-111-000-0-0,,2.734,0.536,2.655,0.369,2.647,0.008,2.51,0.017,6.80295,0.001356,5.6803,0.0065,rered,gaia2,3509.0,122.0,,,,,73.6034,,,,,,GIANT,,,435.97,12.991,0.0609288,0.00567397,,,,,,0.00646656,0.00488138,panstarrs,,,,,,,,,,,12.611,13.371,bj2018,,,dered,8.25016,0.004018,5.65099,0.002273,1.0,,hipvmag,apassdr9,,2.27317160415846,1.70580849810583,225.378843767011,-18.8032397583148,0.0693133967309397,0.0466497389040982,0.0,0,941498428,1,91,V*,M2/3III,D,13
CD-28 14834,153163607,20190415,,6870-00890-1,307-241117,18395121-2839202,,J183951.21-283920.3,4.0716285199179095e+18,,,STAR,tmgaia2,279.963389439204,-28.6556189421509,tmgaia2,4.08942,0.293336,-2.0971,0.26127,gaia2,1.97324,0.170677,gaia2,5.90813841263901,-10.3234810533715,278.773824387874,-5.51928906743619,11.492,0.094,10.31,0.01,,,,,,,,,,,2.801,0.252,1.804,0.252,1.377,0.292,DDD-333-111-000-0-0,,-1.277,,-0.766,,0.149,0.099,-0.707,0.007,7.23909,0.009566,5.68274,0.0144,rered,,,,,,,,,,,,,,,,,506.01,46.085,0.106377,0.02464885,,,,,,0.0322145,0.0170832,panstarrs,,,,,,,,,,,41.979,50.191,bj2018,,,,10.3439,0.052835,5.73977,0.026907,1.0,,tycho2v3,tycho2b3,,4.69521465106365,4.05257917726662,279.963409504009,-28.655627971333,0.154531259291978,0.153131932626816,-1.0,0,1568442032,1,92,AB?,M6,D,9
CD-28 16278,209186647,20190415,,6899-00079-1,310-256463,19561085-2802248,,J195610.88-280225.0,6.753799209259429e+18,14672980.0,,STAR,tmgaia2,299.045210055239,-28.0402129632492,tmgaia2,-2.93785,0.18009,-8.42108,0.112592,gaia2,1.57255,0.115702,gaia2,13.0707788711342,-25.6783787901024,295.58588730851,-7.1443021430527,11.089,0.083,9.898,0.009,,,,,,,,,,,3.296,0.204,2.237,0.184,1.915,0.264,CCD-333-111-000-0-0,,-0.069,,0.058,,1.012,0.031,0.082,0.009,7.14803,0.004729,5.684,0.0078,rered,gaia2,,,,,,,,,,,,,,,,629.72,47.3825,0.087996,0.007926095,,,,,,0.00890709,0.0069451,panstarrs,,,,,,,,,,,43.893,50.872,bj2018,,,,9.80528,0.017263,5.72221,0.00968,1.0,,tycho2v3,tycho2b3,,2.87854567946244,1.74623254020873,299.045195723922,-28.0402492206779,0.0911568169806477,0.0607356032967979,-1.0,0,1693520943,4,92,AB?,M6,D,6
